id_video,conf5,conf10,conf15,conf20,conf25,conf30
297,4,41,41,42,100,42
298,21,1,47,48,48,100
299,1,41,100,41,100,85
300,4,42,42,42,100,104
301,4,42,103,41,100,100
302,42,41,83,83,83,100
303,41,41,25,100,85,109
304,12,42,100,42,102,103
305,41,100,41,41,43,100
306,1,100,42,42,98,102
307,42,25,25,48,48,42
308,41,41,41,96,41,100
309,1,41,42,41,41,100
310,41,100,100,100,46,100
311,25,25,100,41,41,41
312,17,42,100,105,108,100
313,1,41,103,102,102,42
314,41,41,41,41,41,48
315,1,17,100,42,100,100
316,41,100,41,83,41,103
317,17,25,85,100,100,103
318,1,42,101,103,100,83
319,1,41,76,41,42,100
320,41,45,41,100,100,108
321,1,41,41,41,41,46
322,1,1,41,41,95,41
323,41,41,100,100,83,100
324,41,25,41,41,41,101
325,41,25,42,41,100,41
326,41,42,4,101,46,100
327,41,58,98,49,41,41
328,5,100,41,41,101,100
329,41,41,42,41,104,98
330,5,42,83,102,100,104
331,83,41,100,100,83,100
332,83,83,85,102,83,102
333,41,41,25,41,100,42
334,41,41,50,100,41,41
335,4,41,41,42,41,41
336,1,41,50,46,41,48
337,1,42,41,42,41,100
338,41,2,41,48,41,41
339,41,41,41,102,92,41
340,25,25,41,41,41,42
341,41,100,103,41,42,100
342,54,41,41,41,41,41
343,25,42,41,41,100,100
344,1,41,48,46,48,48
345,42,4,42,42,100,100
346,41,47,42,103,100,42
