id_video,conf5,conf10,conf15,conf20,conf25,conf30
100,34,1,42,108,104,42
101,4,100,1,20,112,1
102,4,10,42,100,4,112
103,32,13,42,8,94,101
104,100,48,41,48,25,103
105,83,63,43,46,41,62
106,1,4,70,41,41,62
107,1,41,41,100,41,42
108,41,83,97,98,100,100
109,31,32,9,41,104,101
110,41,1,41,41,41,48
111,2,41,4,46,41,41
112,1,95,41,48,41,64
113,41,41,4,42,41,100
114,1,1,41,62,41,41
115,4,4,85,41,189,62
116,4,41,42,48,100,100
117,91,20,17,100,41,41
118,6,41,41,46,86,41
119,108,15,41,4,100,100
120,2,6,41,46,46,83
121,41,62,42,85,41,102
122,74,4,20,100,41,41
123,4,4,39,48,41,100
124,5,2,3,41,101,46
125,111,4,41,120,103,83
126,12,0,41,41,46,112
127,1,12,100,100,84,46
128,39,41,100,100,28,10
129,1,42,42,46,83,104
130,51,83,98,81,46,42
131,11,103,41,41,100,98
132,38,100,62,52,100,42
133,6,4,43,41,93,41
134,57,6,100,46,118,83
135,23,49,1,42,62,16
136,4,6,3,46,83,106
137,1,1,35,100,42,85
138,65,42,38,38,38,103
139,4,56,4,4,85,62
140,41,40,85,100,41,98
141,0,100,84,83,85,91
142,41,97,4,41,25,41
143,38,56,48,56,39,47
144,4,67,12,25,83,101
145,6,38,41,41,100,41
146,1,46,97,95,41,46
147,84,29,46,91,62,100
148,1,21,100,100,97,85
149,41,62,2,41,41,96
150,4,67,17,4,85,103
151,25,38,41,102,100,12
152,1,41,41,42,62,101
153,181,43,41,83,98,62
154,4,25,4,85,108,100
155,4,62,41,46,95,97
156,4,41,100,41,100,41
157,6,83,62,104,24,42
158,32,38,12,95,12,41
159,42,4,1,41,42,83
160,3,38,41,84,46,104
161,4,73,41,83,64,101
162,62,12,41,6,4,101
163,0,4,103,41,92,100
164,83,41,25,200,200,109
165,1,4,48,83,42,95
166,41,39,15,23,12,41
167,1,41,46,42,14,102
168,65,103,41,100,42,100
169,97,75,1,85,17,100
170,1,29,20,12,103,83
171,0,19,41,100,62,100
172,12,83,97,41,83,100
173,4,12,62,25,83,100
174,6,43,100,41,49,74
175,28,4,100,42,25,105
176,17,39,41,42,41,104
177,12,0,93,68,41,103
178,1,75,96,109,101,109
179,41,46,3,101,62,43
180,2,1,64,62,48,100
181,5,43,41,43,101,48
182,1,7,41,41,100,103
183,12,41,100,62,97,96
184,38,42,4,25,46,41
185,4,41,17,3,62,100
186,100,46,9,47,25,108
187,89,85,95,85,100,112
188,4,85,91,100,103,42
189,119,43,42,71,83,103
190,0,13,95,71,62,63
191,38,1,41,97,83,103
192,1,4,41,48,97,103
193,2,100,100,42,41,101
194,2,1,98,83,46,12
195,5,85,42,41,100,101
196,4,1,42,83,41,83
197,38,92,62,38,46,46
198,1,42,53,62,41,42
199,52,5,100,108,100,101
200,25,43,41,83,89,100
201,4,48,41,103,100,42
202,1,100,48,41,86,84
203,170,41,102,100,41,42
204,100,38,1,42,100,42
205,3,14,49,91,41,98
206,41,3,43,43,92,95
207,95,9,6,42,100,83
208,43,1,72,62,42,100
209,42,41,41,41,98,83
210,23,57,43,100,41,100
211,118,79,43,41,41,100
212,4,43,41,69,108,98
213,62,41,4,83,76,25
214,6,41,89,25,109,92
215,100,25,41,76,96,83
216,3,3,20,41,41,41
217,0,42,41,41,42,100
218,12,41,85,41,67,3
219,0,41,83,13,42,102
220,3,4,101,83,41,100
221,83,89,100,100,100,85
222,55,41,100,12,41,100
223,7,56,101,100,100,105
224,42,49,87,41,56,41
225,42,5,42,17,109,78
