id_video,conf5,conf10,conf15,conf20,conf25,conf30
92,1,168,0,126,0,0
93,0,0,0,0,0,0
94,0,22,0,0,77,122
95,0,0,114,22,0,0
96,0,11,122,0,116,99
97,123,0,0,0,0,55
98,0,0,13,0,0,34
99,0,139,1,0,0,0
100,0,1,113,51,66,0
101,0,14,0,0,1,16
102,0,0,0,0,0,0
103,32,0,0,11,0,22
104,0,33,110,33,66,33
105,0,55,22,22,0,11
106,0,0,0,0,44,0
107,2,0,0,0,0,110
108,0,0,0,0,0,11
109,0,0,0,0,0,11
110,0,0,0,0,0,0
111,0,13,30,0,144,0
112,0,11,11,0,22,0
113,0,0,0,0,33,0
114,0,0,110,0,11,0
115,0,0,0,11,0,11
116,49,0,0,0,44,0
117,33,0,88,0,33,0
118,0,0,0,0,11,11
119,0,0,11,11,44,0
120,99,0,0,0,99,11
121,0,121,0,110,110,0
122,0,0,33,33,22,33
123,0,44,33,0,44,0
124,2,118,0,55,0,118
125,0,0,11,0,0,0
126,17,0,0,0,0,32
127,0,0,0,11,0,0
128,11,0,111,11,111,22
129,0,11,0,44,55,0
130,0,0,0,0,11,0
131,33,0,0,0,0,55
132,0,122,33,0,11,0
133,0,136,11,0,11,0
134,1,0,0,44,0,33
135,0,32,0,55,11,11
136,0,25,99,11,44,11
137,0,0,11,110,11,22
138,0,11,0,0,0,11
139,0,111,0,0,0,0
140,0,0,0,0,0,0
141,0,146,0,11,99,0
142,0,0,0,0,11,55
143,0,0,33,33,0,146
144,0,0,0,0,0,0
145,0,0,33,0,44,127
146,0,0,10,0,0,110
147,0,0,32,0,0,33
148,0,22,22,0,0,0
149,0,0,0,33,55,0
150,0,0,0,22,0,0
151,0,0,0,0,0,124
152,0,0,99,33,22,122
153,0,22,0,22,0,22
154,11,0,11,22,55,77
155,0,0,0,88,0,44
156,0,44,110,133,0,44
157,0,113,0,55,0,0
158,0,0,0,11,0,22
159,0,0,0,0,0,0
160,0,8,11,0,33,0
161,0,0,0,0,0,11
162,0,0,0,0,0,0
163,0,0,0,0,0,99
164,6,99,121,116,99,198
165,0,0,11,111,0,22
166,0,0,0,0,55,88
167,0,0,0,0,0,0
168,0,0,116,0,0,0
169,0,155,11,0,176,0
170,11,11,11,11,99,11
171,0,0,0,0,0,0
172,0,146,0,0,0,66
173,0,137,35,121,16,116
174,0,0,0,33,0,0
175,0,127,0,0,0,44
176,34,0,99,22,121,0
177,0,0,11,0,0,66
178,0,0,0,0,0,162
179,0,127,0,128,77,11
180,0,0,0,11,0,0
181,33,0,0,0,0,144
182,0,0,0,33,33,33
183,0,0,0,0,0,0
184,1,0,0,130,0,0
185,0,0,11,88,11,11
186,0,0,0,0,0,22
187,0,34,0,0,0,0
188,0,33,0,0,0,0
189,0,32,118,33,11,0
190,0,0,33,33,0,110
191,0,11,11,11,0,22
192,0,0,0,11,66,66
193,0,0,11,11,77,0
194,1,0,0,113,0,33
195,0,0,11,0,110,0
196,0,0,0,0,11,33
197,0,0,0,172,0,11
198,0,11,11,0,11,11
199,0,0,0,118,110,0
200,0,77,191,77,111,111
201,0,0,0,0,0,0
202,0,0,0,0,0,0
203,2,32,33,117,11,66
204,1,33,22,0,0,22
205,0,0,0,0,0,33
206,0,0,0,0,0,117
207,0,0,0,0,0,0
208,2,0,0,11,124,0
209,0,0,0,33,0,11
