configurationID,aud,constrained-intra,intra-refresh,no-asm,slow-firstpass,weightb,aq-strength,ipratio,pbratio,psy-rd,qblur,qcomp,vbv-init,aq-mode,b-adapt,bframes,crf,keyint,lookahead-threads,min-keyint,qp,qpstep,qpmin,qpmax,rc-lookahead,ref,vbv-bufsize,deblock,me,overscan,preset,scenecut,tune,size,user,system,elapsedtime,cpu,fps,kbs
1050,None,--constrained-intra,None,None,None,--no-weightb,1.0,1.4,1.1,1.0,0.3,0.9,0.9,3,2,2,0,210,0,27,30,3,1,64,18,1,2000,-1:-1,hex,crop,superfast,30,ssim,1375625,2.64,0.12,0:00.77,356,316.03,810.35
106,--aud,--constrained-intra,None,None,None,--no-weightb,2.5,1.4,1.3,2.8,0.6,0.8,0.4,0,2,6,50,220,3,30,40,3,4,68,38,4,2000,-1:-1,umh,crop,medium,40,grain,208271,10.33,0.25,0:02.21,477,99.75,121.22
1051,None,--constrained-intra,None,None,--slow-firstpass,--weightb,2.5,1.1,1.3,2.6,0.3,0.6,0.9,3,2,8,30,240,1,21,10,3,2,63,28,5,2000,-2:-2,umh,show,slow,10,ssim,3672478,27.07,0.17,0:05.23,520,40.83,2165.93
1052,None,None,None,None,--slow-firstpass,--weightb,1.0,1.6,1.2,0.4,0.2,0.7,0.4,1,0,12,5,210,4,28,30,5,2,69,18,3,2000,1:1,dia,crop,medium,10,grain,1254235,6.88,0.15,0:01.12,625,205.10,738.68
1053,None,None,None,--no-asm,--slow-firstpass,--weightb,1.5,1.4,1.0,2.4,0.3,0.6,0.2,3,1,8,5,210,0,27,10,5,0,67,18,6,2000,-1:-1,hex,crop,placebo,0,grain,3779119,142.19,0.13,0:18.84,755,11.16,2228.88
1054,--aud,--constrained-intra,None,--no-asm,--slow-firstpass,--no-weightb,3.0,1.4,1.3,2.0,0.3,0.9,0.9,0,2,8,5,200,1,24,50,5,4,68,18,4,1000,-2:-2,hex,show,veryfast,10,grain,25585,20.20,0.16,0:15.93,127,13.21,13.38
1055,--aud,--constrained-intra,None,--no-asm,--slow-firstpass,--weightb,0.0,1.3,1.0,3.8,0.4,0.9,0.6,0,1,14,10,290,1,27,0,3,1,66,38,4,2000,-1:-1,dia,show,faster,0,psnr,11359540,48.06,0.19,0:06.50,742,32.94,6703.83
1056,None,None,None,None,None,--weightb,0.0,1.5,1.3,3.6,0.4,0.9,0.9,2,0,0,10,200,4,27,30,5,2,62,18,6,2000,-2:-2,hex,show,fast,30,grain,1653496,5.24,0.09,0:00.97,548,242.00,974.93
1057,None,None,None,None,None,--weightb,1.5,1.3,1.1,2.2,0.4,0.9,0.7,0,1,8,50,240,0,28,40,3,1,68,48,4,2000,1:1,umh,show,faster,40,psnr,364548,6.15,0.20,0:01.32,478,173.46,214.11
1058,--aud,--constrained-intra,None,None,None,--no-weightb,2.5,1.2,1.3,1.4,0.6,0.6,0.2,1,2,6,50,210,2,24,40,3,1,67,48,4,2000,-1:-1,hex,show,slow,40,grain,207503,8.02,0.27,0:02.32,356,95.63,120.77
1059,None,None,None,None,--slow-firstpass,--no-weightb,0.0,1.6,1.4,2.8,0.6,0.6,0.0,2,1,6,35,230,3,28,20,5,0,68,38,1,1000,-1:-1,dia,crop,fast,10,animation,2946889,7.81,0.15,0:01.24,642,184.37,1737.85
1060,--aud,None,None,--no-asm,None,--weightb,2.5,1.1,1.0,2.4,0.3,0.6,0.2,0,1,6,15,230,0,23,20,5,0,68,38,6,2000,-2:-2,umh,show,placebo,0,ssim,1938479,242.48,0.16,0:32.09,756,6.53,1142.46
107,None,None,None,--no-asm,--slow-firstpass,--no-weightb,0.5,1.1,1.3,3.6,0.2,0.6,0.8,3,2,0,45,210,2,22,20,5,1,67,18,3,1000,-1:-1,hex,show,slower,40,grain,3302730,43.47,0.15,0:07.00,622,30.28,1948.36
1061,--aud,--constrained-intra,None,None,--slow-firstpass,--weightb,2.0,1.3,1.4,2.8,0.4,0.9,0.0,3,0,12,0,280,2,28,50,5,2,61,28,5,2000,-2:-2,dia,show,slow,10,ssim,29591,2.29,0.14,0:00.61,397,409.35,15.86
1062,--aud,--constrained-intra,None,None,None,--weightb,0.5,1.6,1.3,1.0,0.4,0.8,0.2,2,0,8,45,260,0,27,20,3,4,61,18,6,2000,-2:-2,dia,crop,medium,10,grain,2054042,11.90,0.12,0:01.79,671,124.59,1210.74
1063,--aud,None,None,None,--slow-firstpass,--weightb,2.5,1.2,1.3,0.2,0.6,0.7,0.6,3,0,0,45,250,0,22,30,5,0,64,18,6,1000,-1:-1,dia,show,faster,40,ssim,1513484,2.79,0.09,0:00.60,478,415.59,892.28
1064,--aud,None,None,--no-asm,None,--no-weightb,1.5,1.0,1.1,0.8,0.4,0.9,0.6,1,2,12,45,270,1,29,10,3,1,61,38,1,1000,-2:-2,hex,show,faster,30,psnr,4335403,73.14,0.15,0:26.59,275,7.89,2557.40
1065,--aud,--constrained-intra,None,--no-asm,--slow-firstpass,--weightb,3.0,1.5,1.1,0.8,0.4,0.7,0.0,3,2,6,15,260,0,21,30,3,0,66,28,1,2000,-2:-2,umh,show,fast,30,animation,1107938,91.49,0.38,0:13.34,688,15.80,652.24
1066,None,None,None,--no-asm,--slow-firstpass,--weightb,3.0,1.2,1.3,0.8,0.6,0.7,0.8,0,2,8,35,210,0,27,0,4,1,66,48,1,2000,-2:-2,umh,show,fast,40,grain,8689166,28.69,0.12,0:05.47,526,39.24,5127.66
1067,--aud,--constrained-intra,None,None,--slow-firstpass,--weightb,2.5,1.0,1.2,3.4,0.2,0.8,0.3,1,0,8,25,300,1,25,30,4,1,65,18,5,1000,-2:-2,hex,show,faster,30,animation,1360167,5.59,0.12,0:01.03,555,225.56,801.74
1068,None,--constrained-intra,None,None,--slow-firstpass,--weightb,3.0,1.6,1.4,5.0,0.2,0.6,0.7,2,0,14,5,290,2,30,40,5,1,66,38,2,2000,-2:-2,dia,crop,placebo,10,animation,431389,7.46,0.13,0:01.19,635,190.69,252.99
1069,--aud,None,None,--no-asm,--slow-firstpass,--weightb,3.0,1.4,1.2,4.2,0.2,0.7,0.0,2,2,2,45,220,0,26,30,3,1,60,18,6,2000,1:1,hex,show,medium,0,psnr,556533,60.89,0.19,0:08.87,688,23.89,326.79
1070,--aud,None,None,--no-asm,None,--no-weightb,2.0,1.4,1.3,4.4,0.5,0.7,0.4,1,0,16,45,230,3,22,10,3,4,62,18,6,1000,-2:-2,hex,crop,superfast,0,psnr,2401832,17.36,0.16,0:02.85,613,75.97,1416.36
108,None,--constrained-intra,None,--no-asm,--slow-firstpass,--weightb,2.0,1.4,1.4,4.8,0.6,0.7,0.5,2,2,0,20,290,3,27,20,5,1,60,38,1,2000,-1:-1,dia,crop,ultrafast,40,grain,5420032,9.51,0.11,0:01.45,659,157.32,3198.09
1071,None,--constrained-intra,None,--no-asm,--slow-firstpass,--weightb,1.0,1.5,1.3,1.4,0.5,0.8,0.3,3,2,0,0,300,4,20,40,4,2,66,48,6,1000,-2:-2,dia,crop,placebo,0,grain,187085,72.06,0.16,0:09.82,735,21.52,109.41
1072,--aud,None,None,None,--slow-firstpass,--no-weightb,0.5,1.0,1.3,3.8,0.6,0.8,0.3,3,1,4,35,230,3,29,0,5,0,61,18,6,1000,-1:-1,hex,show,fast,40,animation,7560084,7.04,0.14,0:01.27,564,181.07,4461.23
1073,None,--constrained-intra,None,None,None,--weightb,3.0,1.4,1.4,2.6,0.6,0.9,0.8,1,2,0,5,290,2,28,50,3,1,60,48,2,1000,-1:-1,hex,crop,veryslow,30,psnr,68499,3.16,0.12,0:00.66,498,375.37,39.40
1074,None,None,None,--no-asm,None,--no-weightb,1.5,1.2,1.1,0.4,0.2,0.6,0.8,2,0,10,30,220,1,25,40,4,1,65,18,5,1000,-2:-2,umh,crop,medium,40,animation,354575,111.10,0.14,0:16.90,658,12.45,208.21
1075,--aud,None,None,None,None,--no-weightb,0.0,1.4,1.2,0.4,0.5,0.6,0.2,1,1,6,10,200,3,24,40,3,4,62,38,6,2000,-2:-2,umh,show,veryfast,30,ssim,120435,5.03,0.15,0:01.22,424,187.96,69.98
1076,--aud,--constrained-intra,None,--no-asm,None,--weightb,1.5,1.4,1.3,4.0,0.3,0.7,0.8,2,0,10,0,200,1,28,10,4,2,63,28,2,2000,-2:-2,dia,show,veryfast,10,ssim,5716452,36.04,0.15,0:04.89,739,43.92,3372.45
1077,--aud,--constrained-intra,None,None,None,--no-weightb,2.0,1.3,1.1,3.8,0.2,0.7,0.3,1,2,2,45,210,3,26,50,5,4,61,28,3,2000,1:1,umh,crop,veryslow,40,psnr,39092,5.52,0.17,0:01.34,422,168.49,21.19
1078,None,--constrained-intra,None,None,None,--no-weightb,2.0,1.3,1.3,3.4,0.2,0.7,0.2,3,2,0,20,220,3,29,20,4,1,62,28,3,2000,-2:-2,hex,crop,fast,40,grain,3252575,5.45,0.13,0:00.98,569,240.13,1918.77
1079,None,--constrained-intra,None,None,--slow-firstpass,--weightb,1.0,1.1,1.0,3.8,0.2,0.9,0.1,1,1,4,45,220,2,22,20,4,4,60,38,3,1000,-2:-2,hex,crop,fast,40,psnr,2913924,12.49,0.17,0:01.96,643,112.43,1718.85
1080,--aud,None,None,None,--slow-firstpass,--no-weightb,2.5,1.6,1.4,3.8,0.3,0.7,0.0,0,1,8,0,230,3,29,0,4,3,68,38,2,2000,-2:-2,dia,crop,superfast,10,ssim,8870881,3.55,0.13,0:00.74,497,355.50,5234.93
109,None,--constrained-intra,None,--no-asm,None,--no-weightb,1.0,1.6,1.3,3.6,0.2,0.6,0.3,1,2,16,15,290,3,28,10,4,1,60,18,4,1000,-1:-1,umh,show,veryslow,10,grain,3724800,240.83,0.77,0:38.24,631,5.48,2197.08
1081,None,--constrained-intra,None,--no-asm,--slow-firstpass,--weightb,2.5,1.5,1.3,2.4,0.2,0.6,0.1,0,0,0,15,280,2,29,40,3,2,60,48,6,2000,-2:-2,umh,show,ultrafast,10,psnr,202967,29.22,0.15,0:05.37,546,39.71,118.78
1082,--aud,--constrained-intra,None,None,--slow-firstpass,--no-weightb,1.5,1.1,1.4,1.2,0.5,0.8,0.3,1,1,14,40,250,1,23,40,4,1,61,28,5,2000,-1:-1,dia,show,veryfast,40,animation,319837,3.17,0.17,0:01.45,230,156.05,187.72
1083,--aud,--constrained-intra,None,--no-asm,None,--weightb,0.5,1.1,1.0,4.6,0.5,0.6,0.8,0,1,4,50,230,1,22,30,4,0,60,48,2,2000,-1:-1,umh,show,fast,0,psnr,1291378,111.89,0.13,0:14.79,757,14.24,760.39
1084,None,--constrained-intra,None,None,--slow-firstpass,--no-weightb,3.0,1.4,1.4,2.4,0.2,0.7,0.6,1,1,14,20,250,2,30,10,5,0,66,38,2,2000,1:1,umh,crop,faster,40,psnr,5543080,10.99,0.14,0:01.91,581,114.51,3270.68
1085,--aud,--constrained-intra,None,None,None,--no-weightb,1.0,1.1,1.3,5.0,0.2,0.9,0.1,1,2,16,45,200,0,26,40,4,2,65,48,4,2000,-1:-1,hex,show,veryfast,30,animation,146958,9.44,0.51,0:03.67,270,58.63,85.29
1086,--aud,--constrained-intra,None,None,--slow-firstpass,--weightb,0.5,1.1,1.2,0.4,0.3,0.8,0.5,2,2,0,35,250,3,25,40,5,4,68,18,5,2000,1:1,dia,show,fast,30,grain,429037,3.37,0.10,0:00.69,501,368.90,252.20
1087,None,--constrained-intra,None,None,None,--no-weightb,0.0,1.4,1.2,3.2,0.6,0.8,0.8,1,2,6,45,200,4,22,10,4,1,60,48,1,2000,-1:-1,dia,crop,medium,40,grain,4359969,15.69,0.28,0:02.62,608,83.34,2571.71
1088,--aud,None,None,--no-asm,--slow-firstpass,--weightb,0.5,1.4,1.1,2.0,0.5,0.7,0.8,2,1,4,15,260,1,29,40,4,0,65,48,1,2000,-1:-1,dia,show,superfast,30,psnr,324176,9.38,0.09,0:03.50,270,61.55,189.51
1089,None,--constrained-intra,None,None,None,--no-weightb,1.0,1.5,1.2,1.8,0.6,0.7,0.3,3,2,16,5,230,2,26,40,4,2,65,28,1,2000,-1:-1,umh,crop,ultrafast,0,ssim,209369,5.27,0.35,0:02.58,217,84.84,122.13
