,mbtree,aq-mode,subme
video_223,-0.52,-0.47,-0.2
video_224,-0.53,-0.29,-0.3
video_225,-0.46,-0.1,-0.35
video_226,0.44,-0.76,-0.33
video_227,-0.93,0.47,-0.07
video_228,-0.95,0.56,-0.01
video_229,-0.61,-0.19,-0.23
video_230,-0.72,-0.02,-0.24
video_231,-0.41,-0.27,-0.32
video_232,-0.54,-0.31,-0.28
video_233,-0.72,0.19,-0.29
video_234,-0.67,0.33,-0.13
video_235,-0.42,-0.36,-0.32
video_236,-0.19,-0.51,-0.36
video_237,0.24,-0.52,-0.59
video_238,-0.5,-0.5,-0.19
video_239,-0.46,-0.28,-0.42
video_240,-0.41,-0.43,-0.31
video_241,0.3,-0.67,-0.39
video_242,-0.36,-0.36,-0.42
video_243,-0.24,-0.35,-0.52
video_244,-0.47,-0.44,-0.28
video_245,0.01,-0.71,-0.34
video_246,0.01,-0.42,-0.53
video_247,0.05,-0.49,-0.57
video_248,-0.05,-0.4,-0.31
video_249,-0.19,-0.47,-0.4
video_250,0.02,-0.74,-0.3
video_251,-0.78,0.07,-0.28
video_252,0.5,-0.82,-0.32
video_253,-0.24,-0.55,-0.16
video_254,-0.58,-0.5,-0.08
video_255,0.05,-0.78,-0.22
video_256,0.09,-0.64,-0.42
video_257,-0.27,-0.43,-0.34
video_258,0.14,-0.75,-0.41
video_259,-0.17,-0.69,-0.05
video_260,-0.09,-0.72,-0.31
video_261,-0.49,-0.34,-0.36
video_262,-0.82,0.06,-0.18
video_263,0.66,-0.86,-0.17
video_264,0.58,-0.79,-0.28
video_265,-0.28,-0.31,-0.32
video_266,0.65,-0.82,-0.24
video_267,0.26,-0.7,-0.32
video_268,-0.01,-0.67,-0.38
video_269,0.43,-0.7,-0.32
video_270,0.51,-0.73,-0.38
video_271,-0.08,-0.72,-0.23
video_272,-0.18,-0.59,-0.35
video_273,-0.15,-0.68,-0.19
video_274,-0.21,-0.42,-0.4
video_275,-0.27,-0.42,-0.16
video_276,-0.18,-0.6,-0.34
video_277,0.48,-0.74,-0.31
video_278,0.17,-0.45,-0.46
video_279,-0.38,-0.38,-0.37
video_280,-0.3,-0.45,-0.4
video_281,0.27,-0.66,-0.31
video_282,-0.19,-0.75,-0.06
video_283,-0.14,-0.58,-0.38
video_284,0.21,-0.48,-0.61
video_285,0.12,-0.64,-0.33
video_286,-0.49,-0.42,-0.19
video_287,-0.15,-0.47,-0.36
video_288,0.45,-0.81,-0.29
video_289,-0.11,-0.73,-0.09
video_290,-0.52,-0.13,-0.37
video_291,-0.59,-0.41,-0.11
video_292,0.21,-0.73,-0.36
video_293,0.23,-0.8,-0.3
video_294,-0.23,-0.34,-0.38
video_295,-0.3,-0.39,-0.29
video_296,-0.19,-0.46,-0.48
video_297,0.05,-0.44,-0.53
video_298,-0.68,-0.1,-0.24
video_299,-0.29,-0.06,-0.38
video_300,0.41,-0.75,-0.38
video_301,-0.06,-0.53,-0.41
video_302,0.2,-0.66,-0.42
video_303,-0.22,-0.51,-0.36
video_304,-0.28,-0.55,-0.26
video_305,0.59,-0.85,-0.22
video_306,0.45,-0.74,-0.38
video_307,0.07,-0.7,-0.21
video_308,0.33,-0.74,-0.33
video_309,-0.13,-0.54,-0.46
video_310,-0.35,-0.52,-0.19
video_311,-0.24,-0.64,-0.21
video_312,-0.48,0.12,-0.41
video_313,-0.75,-0.04,-0.18
video_314,-0.91,0.04,-0.09
video_315,-0.67,0.08,-0.03
video_316,-0.87,0.52,-0.11
video_317,-0.44,-0.39,-0.37
video_318,-0.95,0.45,-0.09
video_319,-0.25,-0.45,-0.36
video_320,-0.23,-0.09,-0.15
video_321,-0.45,-0.22,-0.43
video_322,-0.69,-0.08,-0.31
video_323,-0.72,-0.02,-0.29
video_324,-0.5,-0.19,-0.4
video_325,-0.54,-0.22,-0.23
